,g_$t_0$,r_$t_0$,tess_$t_0$,g_$\beta_1$,r_$\beta_1$,tess_$\beta_1$,g_$\beta_2$,r_$\beta_2$,tess_$\beta_2$,g_$c$,r_$c$,tess_$c$,g_$f_0$,r_$f_0$,tess_$f_0$,g_enough_data,r_enough_data,tess_enough_data
lc_2018fzi_ZTF18abtkqkb_processed.csv,-4.673256042609664,-9.62087921019933,-8.363850200622908,0.3739514779574306,1.3941971089502596,1.092686745433031,-0.0203631108284793,-0.0170852512374612,-0.0336445519105887,483.9199245956513,56.29857171145088,178.31072440153673,0.1581924345273346,0.1366038264288319,0.048617429724721,True,True,True
lc_2018grv_ZTF18abwerpm_processed.csv,-7.8731149691973314,-7.360643364303076,-10.104069016784848,1.028097594135463,0.8651275661910074,2.180180075678461,-0.0035178171244053,0.0,-0.0206543365976437,138.0322601808532,168.02871870623716,18.8545557770202,-19.003038529491143,20.23352103669359,-0.0249628562141855,True,True,True
lc_2018gxi_ZTF18abzscns_processed.csv,-1.0155046243585168,-3.000000881134044,-7.87555545480372,0.0511491977282815,0.2622242842458938,0.0,-0.0008208623101116,-0.0063684999363122,-0.001785475851215,919.0691255530046,506.7648515194956,538.0443783308044,-0.0073222795241089,-0.0308301706491977,0.0019449918426655,True,False,True
lc_2018hgl_ZTF18acbxshd_processed.csv,5.0,5.0,-12.052125487731098,0.0,0.0,0.6906261247587289,-0.0001604126275974,-0.0003805283151179,-0.0094009745754675,-109929.91786973164,-2417.211674573279,180.98401099774577,5.431784820731499,0.108291578241153,-121.89831048247098,False,False,True
lc_2018hka_ZTF18acbudzh_processed.csv,4.467848458636443,5.0,-6.500555321635867,0.0,0.0,1.5555009728676232,-0.1,-0.0003223176947564,-0.0036148861254024,-25307.948271277604,-915177.385890451,75.75294334220322,-16.269770988101243,11.075671331079064,0.0027291939519055,False,False,True
lc_2018hkb_ZTF18acbudzo_processed.csv,-2.55506721631986,-4.49585829878749,-4.017589771338647,0.0,0.0,2.333165879606379,-0.1,-0.0887780241745233,-2.174656113401731e-05,140.76100017490873,112.56757010791878,10.239072236736291,14.56652692796549,0.6282361478174576,-0.0660457523517691,False,False,True
lc_2018hrs_ZTF18acbufud_processed.csv,5.0,5.0,-14.274323491268056,0.0,0.0,0.0,-0.0002220427895398,-0.0012268384154669,-0.0029569429284144,-221989.68741234828,-1487140.4943428028,792.9198179931329,7.947965396521271,42.8726625443796,-0.0003104153357834,False,False,True
lc_2018huc_ZTF18acbvcmw_processed.csv,-25.00614438396106,-0.4469058702085484,-4.3229079722491655,0.5027100419695509,0.1767471836126388,0.688019781032263,-0.0109501973006463,-0.0015602821554113,-0.0173938270490961,490.7319692127825,1011.0821590970604,380.14709090364704,0.0470501860988007,0.0002862466090416,0.0735212940591192,True,True,True
lc_2018hxq_ZTF18abyiusv_processed.csv,-5.60470939767038,-1.1677773658383486,-13.102569978416817,1.4435191342253737,1.4802032591594907,0.0,-0.0008330098655632,-0.0046125582636439,-3.847555469074606e-06,78.48595054434807,661.4537876264162,756.2092940740811,0.006825003920276,0.0137174770075585,-0.0035458976549609,False,False,True
lc_2018hyy_ZTF18acckoil_processed.csv,0.8687000192519951,-5.052250531203158,-2.837321971337525,0.1299913782972579,1.828894959852664,0.7127739268797839,-0.0001036845145593,-0.0197517993337846,-0.0248586301268522,4653.973308521563,167.57472566928143,1468.7087899229234,36.53803332817432,0.1841854311212642,0.0533291639773045,True,True,True
