,t0,t0_sigma
lc_2018fzi_ZTF18abtkqkb_processed.csv,-8.105339049356608,1.503668297849939
lc_2018grv_ZTF18abwerpm_processed.csv,-8.690602715566772,1.21785056789112
lc_2018gxi_ZTF18abzscns_processed.csv,-2.9377339131366726,2.134026850654026
lc_2018hgl_ZTF18acbxshd_processed.csv,-11.696873972722427,1.290374345999739
lc_2018hka_ZTF18acbudzh_processed.csv,-5.860699195859947,0.902883587391514
lc_2018hkb_ZTF18acbudzo_processed.csv,-2.9303947311237715,4.005979828426463
lc_2018hrs_ZTF18acbufud_processed.csv,-15.771543269288388,9.828239698500964
lc_2018huc_ZTF18acbvcmw_processed.csv,-4.852267670799266,4.8105377799160935
lc_2018hxq_ZTF18abyiusv_processed.csv,-15.798187291453488,5.732343961152033
lc_2018hyy_ZTF18acckoil_processed.csv,-2.3884865679368086,2.839884529627775
lc_2018ifh_ZTF18accjwuo_processed.csv,-13.47057043786002,7.651376624040133
lc_2018ijn_ZTF18acfvhko_processed.csv,-7.898734749593875,6.07228090113613
lc_2018ime_ZTF18achoord_processed.csv,-0.8914325201141425,3.685906551755697
lc_2018iti_ZTF18achqdch_processed.csv,-4.661922543691839,1.0443357181122117
lc_2018itr_ZTF18acmyxfx_processed.csv,-3.968301673314225,6.756642256054373
lc_2018iuj_ZTF18acmyhbd_processed.csv,-7.902005562856322,6.722652207486821
lc_2018iwg_ZTF18abwbcjx_processed.csv,-4.723660552943559,2.551109850900413
lc_2018iyh_ZTF18acmwyya_processed.csv,-3.835841658988625,3.2456186974305696
lc_2018iyx_ZTF18acptgzz_processed.csv,-5.62947942958971,4.613424409960513
lc_2018izg_ZTF18acrcshq_processed.csv,-9.613711059163688,6.019273407055453
lc_2018jeb_ZTF18acpuxuh_processed.csv,-11.01272974405692,7.185750913719059
lc_2018jjs_ZTF18acrvakb_processed.csv,-4.210855828511993,3.98991701248622
lc_2018jnd_ZTF18actacux_processed.csv,-5.685078525624928,7.737907634687963
lc_2018jwh_ZTF18acuypmo_processed.csv,-4.836749312410407,4.593678439802706
lc_2018kfv_ZTF18acwutbr_processed.csv,-0.6940300149234098,3.0904591770293903
lc_2018koy_ZTF18adaifep_processed.csv,-1.5514598535527284,2.546543755951092
lc_2018ksr_ZTF18adaivyd_processed.csv,-7.191350847951599,66.84570684763067
lc_2018lit_ZTF18adbczrq_processed.csv,-6.683528229956503,0.9642775640741406
lc_2018lot_ZTF17aaabgiw_processed.csv,-11.828849754901931,1.93733074406176
lc_2019aba_ZTF19aaeicsm_processed.csv,-4.939207323869042,2.368901401042718
lc_2019aeu_ZTF19aaernbi_processed.csv,-10.057365858031112,3.6714369778310414
lc_2019axj_ZTF19aajwjwq_processed.csv,-4.064842790875276,2.234306483573268
lc_2019biu_ZTF19aalmhlj_processed.csv,-10.493771209050832,8.509701036481845
lc_2019boo_ZTF19aalybmv_processed.csv,-12.387496333938817,11.839112637216498
lc_2019bop_ZTF19aalypsi_processed.csv,-9.16107323199388,9.818684618138692
lc_2019bwo_ZTF19aamgvxq_processed.csv,-16.65415321136857,6.092304615658356
lc_2019bwu_ZTF19aamsjlt_processed.csv,-14.694980997220435,6.294794939800707
lc_2019bxi_ZTF19aamoidt_processed.csv,-6.598732095342516,4.402118710559088
lc_2019cxt_ZTF19aapelnr_processed.csv,-8.820775898013618,7.137486911891621
lc_2019dhz_ZTF19aapfnym_processed.csv,-0.5245281659240564,3.1002073594473423
lc_2019fp_ZTF19aaajbmv_processed.csv,-2.689722845008341,3.524452161949863
lc_2019mbi_ZTF19abjibet_processed.csv,-6.26677360896565,2.858094133729782
lc_2019mdw_ZTF19abinjcy_processed.csv,-7.470244070982597,4.327512428081525
lc_2019mrg_ZTF19abjrkqn_processed.csv,-1.374821064569766,3.0210387812006294
lc_2019nnr_ZTF19ablkizm_processed.csv,-13.1445414420659,2.956505455711693
lc_2019nvk_ZTF19abpullv_processed.csv,-5.392563059956523,16.471743295671825
lc_2019nzq_ZTF19abqstxq_processed.csv,-0.9831730768286638,0.881417389614643
lc_2019ook_ZTF19abrpadx_processed.csv,-9.939150306081324,5.246890704702773
lc_2019opz_ZTF18aavqadc_processed.csv,-11.9030656272576,6.502393386385642
lc_2019osp_ZTF19abrhdui_processed.csv,0.0430100932569182,0.1327282517703605
lc_2019pny_ZTF19abvjcii_processed.csv,-15.964610795864536,3.504089399175953
lc_2019prm_ZTF19abxwkij_processed.csv,-9.564567058649343,6.340278236367569
lc_2019prs_ZTF19abvitks_processed.csv,-11.78110281103154,3.9367109882246014
lc_2019ptf_ZTF19abvisqv_processed.csv,-7.488075407182526,0.6961854641324408
lc_2019pzj_ZTF18acascph_processed.csv,-1.745923569203203,0.9578129053822696
lc_2019qhh_ZTF19abzizfw_processed.csv,-5.421078034360927,6.468703398058405
lc_2019qmt_ZTF19abzmquz_processed.csv,-12.603796417128,23.595729295141417
lc_2019rqd_ZTF19acbpxwt_processed.csv,-4.402029934646128,1.4842456506967827
lc_2019ruc_ZTF19accmcjt_processed.csv,-11.404871548423309,4.888427497789431
lc_2019ruf_ZTF19accmevg_processed.csv,-8.890058852325025,4.615904627509244
lc_2019rvx_ZTF19acctjbv_processed.csv,-8.109674183330373,1.3561555710649764
lc_2019soh_ZTF19acetxvq_processed.csv,-4.558609355698543,5.751407289629559
lc_2019sql_ZTF19acewotx_processed.csv,-4.767348088477504,2.459865774576746
lc_2019str_ZTF19acfslsb_processed.csv,-8.745305150179853,1.962932624217336
lc_2019svm_ZTF19acfwlhy_processed.csv,-14.170417330761948,4.073321292730747
lc_2019swy_ZTF18abywcoi_processed.csv,-0.9439098388555752,0.3278252931409203
lc_2019sxc_ZTF19acgfhfd_processed.csv,0.108884940875859,0.9866905432489654
lc_2019sxe_ZTF19acfvzmr_processed.csv,-4.162140302619658,6.8686504122211804
lc_2019tfa_ZTF19acgqjln_processed.csv,-3.0237033014882666,1.0355370174910248
lc_2019tfd_ZTF19achbhfc_processed.csv,-0.5057214769732452,1.6260263002032171
lc_2019til_ZTF19acfzxms_processed.csv,-6.235952796243811,2.304184805810343
lc_2019bip_ZTF19aallimd_processed.csv,-5.589970421760612,2.063140122277087
lc_2019lmf_ZTF19abghldi_processed.csv,-10.96167335170576,0.9395599361378222
lc_2019lpk_ZTF19abggupq_processed.csv,-13.086377450574462,1.9830988766357711
lc_2019lus_ZTF19abiioum_processed.csv,-8.192751270635378,6.282919539628329
lc_2019lut_ZTF19abilrvz_processed.csv,,
lc_2019meg_ZTF19abhhjcc_processed.csv,-17.283865939320854,3.71332719792788
lc_2019mue_ZTF19abmylxw_processed.csv,4.697410134283514,0.643406721682558
lc_2019mvj_ZTF19abnmrqt_processed.csv,-6.003424632144071,2.5886707113280227
lc_2019ncd_ZTF19abowcic_processed.csv,-3.42006128557917,0.7422040405026262
lc_2019noc_ZTF19abomagh_processed.csv,-9.585915766624648,2.031411256067469
lc_2019nql_ZTF19abnmnrz_processed.csv,-19.336665413975847,1.0059201893453071
lc_2019nqn_ZTF19abplqji_processed.csv,-13.293148051089704,2.055918546707382
lc_2019nvj_ZTF19abpphqt_processed.csv,-4.852914571854878,0.7924534959770443
lc_2019nxp_ZTF19abqhyep_processed.csv,-5.326763189454182,0.7608986128175221
lc_2019nyf_ZTF19abqmuzn_processed.csv,-4.0367208876475,0.1176915531949495
lc_2019nzp_ZTF19abqiacu_processed.csv,-4.445927524505327,1.6288237403581705
lc_2019owy_ZTF19abtniuc_processed.csv,-7.444334757912129,2.2522312055038527
lc_2019oxo_ZTF19abuhlfb_processed.csv,-10.908607460437048,1.9805129120638785
lc_2019pau_ZTF19abtnwgz_processed.csv,-6.376227096075042,2.802134977108044
lc_2019pdx_ZTF19abuhlxk_processed.csv,4.523581795046654,0.7483793470070181
lc_2019pfb_ZTF19abvdgqo_processed.csv,-4.9524403972545095,0.5652640838276798
lc_2019pgu_ZTF19abulzhy_processed.csv,-2.488804584203578,0.6484843733080644
lc_2019php_ZTF19abuvqgw_processed.csv,-1.9419022498601703,0.5524837683817422
lc_2019pju_ZTF18abfacml_processed.csv,-10.54427487984404,1.4534252301985713
lc_2019pmr_ZTF19abxdpwz_processed.csv,-10.64399567667182,2.065013261579141
lc_2019pmt_ZTF19abxdybz_processed.csv,-6.95886778447856,4.328925697521721
lc_2019pnw_ZTF19abwaohs_processed.csv,0.6007751308601174,1.379928064413763
lc_2019pat_ZTF19abtnmid_processed.csv,-4.203057339037236,0.8262211932644669
