,g_$\beta_1$,g_$\beta_2$,g_$c$,g_$f_0$,g_$t_0$,g_enough_data,r_$\beta_1$,r_$\beta_2$,r_$c$,r_$f_0$,r_$t_0$,r_enough_data,tess_$\beta_1$,tess_$\beta_2$,tess_$c$,tess_$f_0$,tess_$t_0$,tess_enough_data
lc_2021adad_ZTF21acjtxgr_processed.csv,0.0,-0.1,4679.057734462938,0.0045578556634595,6.795411066112044e-09,True,0.8298385532071824,-0.0024386677441994,778.0799956662222,4.613350489818769,-0.8911313970519033,True,2.1306832308270103,-0.0111212993843309,50.39941069415915,-0.0007536787449661,-3.7783041203282393,True
lc_2021adfs_ZTF21acjojik_processed.csv,0.0080355571001166,-0.0013413612136466,385.6900580515433,-0.0045974568281305,-1.0008095453880644e-12,True,0.3724851811319741,-0.0004813475600664,193.8122138516024,-0.0034173628066035,0.4726095911572411,False,0.4702233907511157,-0.01907299349094,143.5363507091384,0.0456573315454919,-4.000349461100006,True
lc_2021adgt_ZTF21acjzvbl_processed.csv,1.149513424189479,-0.0191532144400574,106.88951615429804,0.0275949380916963,-2.359689722567218,True,0.229822812850038,0.0,534.2735054494829,33.680950221686984,-0.2661959642868002,True,2.9633707284575053,-0.0013389171089806,0.2713464131175224,0.0033665778314628,-12.212025623462589,True
lc_2021adgx_ZTF21acjzlbg_processed.csv,0.1656224353914711,-0.0212358813707403,387.0833149701567,0.0747062258287827,2.214788599181728,False,1.657614600856558,-0.0018575385362865,5.2206480130229735,0.008894659521305,-13.025285661169391,True,1.3754721324794392,0.0,6.984982532695717,-106.08811132290712,-20.77118874396993,True
lc_2021adka_ZTF21acjvnno_processed.csv,0.6083514164948246,-0.0010386756092531,86.46539473336014,-0.0284792514133878,-8.999999170033249,False,0.2628082185479701,-0.0160241022440388,173.1357592533614,0.1824981025123948,-7.431725159700457,True,1.4986013846707475,-0.0113779393693551,9.343235445692418,0.1139099794386674,-14.412612598428028,True
lc_2021adys_ZTF21acnuzrg_processed.csv,1.7392841852753556,-0.0314194593055745,21.443291476608906,0.2145424373944874,-5.491285972255817,True,0.0145403989554102,-0.0019267053942679,261.85313089236047,0.002132717364952,-2.000000000000001,True,0.0,-0.0012122308726713,216.1239929669045,-4.6319546706029705e-05,-4.847513474496783,True
lc_2021adyz_ZTF21acnwars_processed.csv,0.0,0.0,232.7313254811425,-1.438574835083187,-12.999999665600988,True,0.0,0.0,397.7084346856591,0.1534336126194336,-2.008972306213268,True,1.4089811877939045,-0.000379120856494,23.24730469306128,-0.0007929870125191,-4.696554264577141,True
lc_2021aee_ZTF21aacnrcl_processed.csv,0.6575004065692902,0.0,120.452032734282,5.996519355250541,-4.627482063374988,True,1.831619351544203,-0.005406239345148,4.637648381714008,-0.0058293330664622,-8.881132642459267,True,2.0,-0.001,,0.0,-5.0,False
lc_2021aehf_ZTF21acnvabi_processed.csv,0.5405984316241568,-2.595882672760964e-06,72.39926488557956,0.0135705190773183,-6.846389690648751,True,1.738796537620115,-0.009681536670162,5.239795498886167,-0.0192317877037573,-9.712515330863836,True,0.0729123455186579,-0.0006388637980102,346.2767987639771,-0.0116413158716872,1.999790142686575,True
lc_2021aeno_ZTF21acmnuir_processed.csv,0.1746625593162867,-0.0001577195630658,1337.2669233143338,0.0464454650934008,-2.000819116035,False,1.3813932211642,-0.0011314114727212,88.59336274910723,0.0066172157145437,-4.7306945866964485,False,2.0,-0.001,,0.0,-5.0,False
lc_2021aenr_ZTF21acmqrpj_processed.csv,0.1479645071013763,-1.0520214866183398e-07,168.62467603395595,42.49192152967071,-5.032569715507042,True,1.1254799510975748,-0.0024255028328882,9.879083895834055,2.8317406327715773,-19.74471969567184,True,0.0481992745727761,-0.0011950613454055,338.01712292741274,-0.002541598608237,-1.00130040551827,True
lc_2021aerh_ZTF21acpblwz_processed.csv,1.873176568222544,-0.0016886284974111,5.258299478311059,0.0051448131224589,-10.235451426808297,True,1.197171772168366,-0.0129913704266961,49.94095081101922,0.1280654741030845,-6.052578123369198,True,0.0,-0.00137014869921,359.2474367534328,0.0018920242574175,-4.991719100930386,True
lc_2021aesb_ZTF21acpnfgd_processed.csv,2.860817272721347,-0.0028442897565423,0.5479029450092177,0.0009666651576695,-11.223276297406407,True,2.7038288081921174,-0.0007010456885034,0.3241683288828152,-0.0287860025659163,-12.936461425118225,True,0.0,-0.0021430575178836,948.2185189783432,0.0030716655713794,-9.643882661764216,True
lc_2021aesq_ZTF21acpmcgo_processed.csv,0.6924152576639,-0.0036354042583063,2381.6125167849614,0.012793140378353,1.6092775197524536,True,2.939323265949993,-0.002279351724474,5.746983637006736,-0.03339361099508,-5.108139419989545,True,0.0,-0.0023733174294527,6028.819324208806,0.0035286152713908,-10.347048126820187,True
lc_2021aeux_ZTF21acouotm_processed.csv,1.744048879323599,-0.0110287039258555,12.893500876850652,0.019638390978841,-10.807871361592422,True,1.9396642854916348,-0.008577920318038,5.384233420898392,0.0126416490868589,-12.29139983166477,True,0.0,-0.0012361054108987,353.89665725228974,-8.717595040121554e-05,-4.894842908451235,True
lc_2021ae_ZTF21aaaewsb_processed.csv,0.9336845090780816,-0.0210402279942816,191.8160313106927,-0.072341209028696,-3.222961806806623,True,1.0716646675894086,-0.0150958720544254,112.38046590871636,0.0641993808934326,-4.201378126154628,True,2.0,-0.001,,0.0,-5.0,False
lc_2021afcd_ZTF21acduxrk_processed.csv,0.2301766453540994,-3.826210586921199e-06,202.3043621278852,0.4086763262007787,-9.00013354023795,True,0.9121036451129498,-0.0057670076227714,38.5042054572817,-0.0354206891182836,-6.739777396597361,True,0.0,-0.0018211864268039,420.5695984546384,0.0020568300585171,-8.084464085868579,True
lc_2021afvj_ZTF21acrbwwj_processed.csv,0.0,-0.0995125864022838,212.3094171259137,0.5075844190614638,-12.000374595752303,False,1.0374292022605245,-0.0010338044580213,242.8716321626732,0.0068983366092256,-3.345283402500094,False,2.0,-0.001,174.0396545643236,0.0,-5.0,False
lc_2021afvp_ZTF21acqzqhq_processed.csv,0.0,-0.0007406947830706,-303389.3421025984,25.39598831969246,5.0,False,0.8162641412834122,-0.0016372128066783,140.1416744571154,0.0007041452123201,-3.574514952335419,False,1.4172792339018034,-0.0076312748905419,21.508567597322475,0.0145420884930648,-9.363667027457131,True
